2020:06:25-02:52:00,3806.1,3803.3,3806.1,3804.3
2020:06:25-02:53:00,3803.8,3794.3,3803.8,3800.4
2020:06:25-02:54:00,3800.8,3798.4,3800.8,3799.4
2020:06:25-02:55:00,3798.4,3790.4,3799.2,3791.9
2020:06:25-02:56:00,3791.4,3791.4,3798.4,3795.4
2020:06:25-02:57:00,3794.5,3793.4,3796.4,3794.0
2020:06:25-02:58:00,3794.4,3791.5,3795.4,3793.4
2020:06:25-02:59:00,3794.2,3787.4,3794.4,3788.4
2020:06:25-03:00:00,3788.5,3786.0,3790.4,3787.4
2020:06:25-03:01:00,3786.6,3786.5,3789.4,3787.5
2020:06:25-03:02:00,3788.3,3782.4,3788.4,3783.4
2020:06:25-03:03:00,3782.5,3779.5,3783.4,3782.4
2020:06:25-03:04:00,3782.5,3773.5,3782.5,3774.1
2020:06:25-03:05:00,3774.0,3773.5,3777.4,3776.6
2020:06:25-03:06:00,3777.4,3776.5,3777.5,3776.6
2020:06:25-03:07:00,3777.0,3769.2,3777.5,3773.6
2020:06:25-03:08:00,3773.5,3771.1,3773.6,3771.5
2020:06:25-03:09:00,3770.7,3767.2,3771.5,3771.5
2020:06:25-03:10:00,3770.7,3755.7,3770.9,3757.6
2020:06:25-03:11:00,3757.7,3755.7,3763.6,3763.6
2020:06:25-03:12:00,3764.0,3762.0,3765.0,3762.6
2020:06:25-03:13:00,3763.0,3757.7,3763.5,3758.6
2020:06:25-03:14:00,3759.4,3755.7,3759.5,3758.6
2020:06:25-03:15:00,3758.5,3753.6,3758.7,3757.6
2020:06:25-03:16:00,3757.5,3756.6,3765.5,3765.5
2020:06:25-03:17:00,3765.6,3764.0,3767.6,3765.6
2020:06:25-03:18:00,3766.0,3762.6,3766.0,3764.6
2020:06:25-03:19:00,3765.5,3762.5,3765.5,3763.6
2020:06:25-03:20:00,3763.5,3763.1,3767.5,3767.5
2020:06:25-03:21:00,3768.5,3766.5,3771.4,3770.6
2020:06:25-03:22:00,3771.0,3770.6,3772.5,3772.5
2020:06:25-03:23:00,3772.6,3771.6,3777.4,3775.4
2020:06:25-03:24:00,3776.3,3775.4,3777.3,3776.4
2020:06:25-03:25:00,3776.0,3773.4,3780.4,3780.4
2020:06:25-03:26:00,3780.3,3779.3,3781.3,3779.3
2020:06:25-03:27:00,3779.2,3776.4,3781.4,3781.4
2020:06:25-03:28:00,3782.3,3781.3,3783.2,3781.4
2020:06:25-03:29:00,3781.3,3776.4,3781.3,3780.4
2020:06:25-03:30:00,3780.3,3780.3,3782.4,3782.4
2020:06:25-03:31:00,3782.3,3777.8,3782.4,3778.4
2020:06:25-03:32:00,3778.9,3778.3,3780.3,3778.4
2020:06:25-03:33:00,3779.3,3778.4,3780.4,3779.9
2020:06:25-03:34:00,3779.5,3776.4,3780.4,3780.4
2020:06:25-03:35:00,3780.3,3774.3,3780.3,3774.3
2020:06:25-03:36:00,3774.4,3773.4,3779.4,3777.5
2020:06:25-03:37:00,3777.0,3775.6,3781.4,3781.4
2020:06:25-03:38:00,3781.5,3779.5,3782.4,3781.5
2020:06:25-03:39:00,3781.4,3781.4,3782.5,3782.4
2020:06:25-03:40:00,3783.3,3779.6,3783.5,3781.4
2020:06:25-03:41:00,3781.5,3780.4,3783.5,3782.4
2020:06:25-03:42:00,3781.6,3780.4,3782.5,3782.4
2020:06:25-03:43:00,3781.6,3780.4,3781.6,3780.4
2020:06:25-03:44:00,3780.0,3777.5,3780.5,3778.4
2020:06:25-03:45:00,3778.0,3775.5,3781.4,3775.5
2020:06:25-03:46:00,3775.4,3775.0,3777.5,3777.5
2020:06:25-03:47:00,3776.6,3775.5,3777.5,3775.5
2020:06:25-03:48:00,3776.8,3774.6,3779.4,3779.4
2020:06:25-03:49:00,3779.5,3779.5,3783.5,3781.5
2020:06:25-03:50:00,3781.4,3780.4,3781.6,3780.5
2020:06:25-03:51:00,3780.4,3779.5,3780.6,3780.6
2020:06:25-03:52:00,3780.5,3780.5,3782.4,3781.5
2020:06:25-03:53:00,3781.6,3779.5,3782.5,3779.5
2020:06:25-03:54:00,3779.6,3776.5,3779.6,3776.6
2020:06:25-03:55:00,3777.4,3777.4,3781.6,3781.5
2020:06:25-03:56:00,3781.4,3780.4,3783.5,3783.5
2020:06:25-03:57:00,3784.3,3782.6,3787.3,3786.4
2020:06:25-03:58:00,3786.0,3785.4,3791.5,3789.6
2020:06:25-03:59:00,3790.0,3789.4,3792.4,3791.4
2020:06:25-04:00:00,3791.5,3789.3,3792.5,3789.4
2020:06:25-04:01:00,3788.6,3787.5,3789.6,3789.6
2020:06:25-04:02:00,3790.5,3786.0,3790.5,3788.4
2020:06:25-04:03:00,3788.5,3785.4,3789.5,3787.4
2020:06:25-04:04:00,3787.8,3787.8,3789.4,3789.4
2020:06:25-04:05:00,3788.8,3787.3,3794.5,3794.4
2020:06:25-04:06:00,3795.3,3791.4,3795.4,3791.4
